year,zip_code,is_brand,volume_sold,sale_dollars
2012,51566,1,127.5,4426.74
2012,51575,0,1540.77,20644.6
2012,51577,0,2613.6,36027.57
2012,51577,1,39,1383.84
2012,51579,0,5226.97,72169.93
2012,51601,0,58495.4,770851.88
2012,51601,1,158.9,5618.25
2012,51632,0,38040.5,492603.03
2012,51632,1,93.15,3375.16
2012,51640,0,1366.25,18793.59
2012,52001,0,254269.91,3288280.73
2012,52001,1,3195.26,108954.23
2012,52002,0,119099.24,1551404.04
2012,52002,1,842.7,28685.74
2012,52003,0,151614.12,2141543.74
2012,52003,1,2336.47,77781.24
2012,52004,0,9919.04,122425.14
2012,52004,1,74.15,2615.98
2012,52031,0,19625,260173.99
2012,52031,1,120,3919.2
2012,52033,0,10339.25,122422.09
2012,52033,1,49.25,1659.2
2012,52035,0,2411.6,28950.94
2012,52035,1,2,65.32
2012,52037,0,794.85,9900
2012,52040,0,40748.84,431355.31
2012,52040,1,80.25,2879.72
2012,52042,0,3687.25,42168.36
2012,52042,1,3.75,132.8
2012,52046,0,1412.33,17892.33
2012,52049,0,1455.3,16756.69
2012,52052,0,18012.72,228234.75
2012,52052,1,83.25,2744.06
2012,52053,0,6300,84962.82
2012,52053,1,72,2351.52
2012,52057,0,66178.93,842911.05
2012,52057,1,376.8,12771.75
2012,52060,0,70114.49,827977.55
2012,52060,1,189.5,6695.01
2012,52068,0,1632.86,21985.12
2012,52069,0,2770.45,35339.2
2012,52069,1,6,195.96
2012,52076,0,6027.75,65859.24
2012,52076,1,12,391.92
2012,52084,0,18752.99,334478.74
2012,52084,1,804.25,28166.03
2012,52101,0,91338.36,1150991.92
2012,52101,1,586.99,19946.58
2012,52134,0,1147.5,14388.78
2012,52134,1,18,587.88
2012,52136,0,55451.73,674229.05
2012,52136,1,185.55,6256.42
2012,52142,0,6012,77701.68
2012,52142,1,89.4,2991
2012,52144,0,6859.77,81388.57
2012,52144,1,6,195.96
2012,52151,0,9946.74,116363.49
2012,52151,1,57.2,1872.7
2012,52154,0,5568.2,76964.38
2012,52154,1,58.5,2090.88
2012,52157,0,4953.82,73854.19
2012,52157,1,29,966.86
2012,52159,0,11823.59,146054.48
2012,52159,1,44.5,1504.6
2012,52161,0,5731.25,75739.47
2012,52161,1,23,751.18
2012,52162,0,4085.55,46288.2
2012,52162,1,23.5,775.71
2012,52166,0,4843.25,61876.82
2012,52166,1,6,195.96
2012,52172,0,51384.55,613023.03
2012,52172,1,227.88,7324.31
2012,52175,0,23907.57,280703.14
2012,52175,1,101.62,3371.68
2012,52205,0,62839.02,721603.15
2012,52205,1,265.5,8978.26
2012,52207,0,2116.9,25009.74
2012,52207,1,14.4,479.4
2012,52208,0,19918.06,245088.58
2012,52208,1,200.77,6583.41
2012,52211,0,8091.46,99771.35
2012,52211,1,24,862.72
2012,52213,0,6934.4,69494.94
2012,52213,1,15,537.2
2012,52214,0,5176.32,57590.39
2012,52224,0,3243,40183.38
2012,52224,1,9,323.52
2012,52227,0,2220.39,27948.07
2012,52227,1,9,323.52
2012,52233,0,18556.1,232401.11
2012,52233,1,83.62,3063.96
2012,52240,0,547747.32,7846724.3
2012,52240,1,4733.31,159522.54
2012,52241,0,282060.44,4527334.82
2012,52241,1,3908.81,128554.98
2012,52245,0,32002.29,444889.13
2012,52245,1,82.89,2858.08
2012,52246,0,68492.11,900122.58
2012,52246,1,458.69,16349.58
2012,52248,0,1894.49,18920.82
2012,52248,1,6.75,239.64
2012,52253,0,1637.1,20318.24
2012,52253,1,2.25,80.88
2012,52301,0,26554.83,280159.92
2012,52301,1,56.62,2028.2
2012,52302,0,145548.81,1884142.1
2012,52302,1,743.1,25590.76
2012,52306,0,1772.55,24516.63
2012,52306,1,4.5,161.76
2012,52310,0,43213.97,480759.36
2012,52310,1,220.22,7569.88
2012,52314,0,182297.88,2481308.89
2012,52314,1,1419.75,46690.54
2012,52316,0,8015.45,72496.24
2012,52316,1,6.75,240.64
2012,52317,0,82431.64,1183539.86
2012,52317,1,637.17,21749.02
2012,52324,0,6320.4,83786.58
2012,52324,1,24,783.84
2012,52327,0,11067.77,167465.91
2012,52327,1,250.86,8071.5
2012,52332,0,5736.38,67080.95
2012,52332,1,38,1241.08
2012,52333,0,11573.3,149791.88
2012,52333,1,24,783.84
2012,52338,0,5789.99,136407.6
2012,52338,1,29.5,1017.07
2012,52340,0,3915.76,59043.4
2012,52340,1,78.75,2817.12
2012,52342,0,33105.66,410648.43
2012,52342,1,153.2,5327.63
2012,52345,0,2447.29,32837.78
2012,52349,0,26152.25,285928.33
2012,52349,1,54,1929.12
2012,52352,0,1416.3,20309.16
2012,52353,0,76731.51,1031974.29
2012,52353,1,394.18,13234.74
2012,52356,0,7033.95,83638.54
2012,52356,1,13.5,482.76
2012,52358,0,6011.67,68058.6
2012,52358,1,58.5,2090.88
2012,52361,0,25783.5,326534.62
2012,52361,1,92.75,3224.62
2012,52401,0,119356.65,2028236.56
2012,52401,1,2256.8,74407.55
2012,52402,0,616727.46,8296892.19
2012,52402,1,4787.58,161377.43
2012,52403,0,76917.65,988901.26
2012,52403,1,324.28,11437.4
2012,52404,0,263951.5,3388526.66
2012,52404,1,1476.05,51347.74
2012,52405,0,130633.62,1544120.67
2012,52405,1,755.34,26371.45
2012,52411,0,68559.42,975694.57
2012,52411,1,270.12,9041
2012,52501,0,172218.81,2248008.46
2012,52501,1,1029.5,34448.8
2012,52531,0,23052.55,285376.52
2012,52531,1,49.12,1749.96
2012,52537,0,8049.25,85781.29
2012,52537,1,21,685.86
2012,52544,0,50496.67,632558.45
2012,52544,1,145.43,5059.18
2012,52553,0,2004.5,26250.12
